,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating
119,4586681,"Hidden Gem in Jamaica Plain, Boston",42.31482748,-71.11295481,House,1,1.0,1.0,1.0,99.0
120,1113272,JP Whole awesome apartment,42.30484333,-71.10627116,Apartment,4,1.0,2.0,2.0,94.0
121,12647606,Private Room in Urban DIY House,42.31337133,-71.11089129,Apartment,2,1.0,1.0,1.0,100.0
122,10271867,Cozy room in Jamaica Plain,42.32357026,-71.10670813,Apartment,2,1.0,1.0,1.0,90.0
123,7879708,"Sunny, Cozy and Convenient JP Home!",42.29559334,-71.11530146,Condominium,2,1.0,1.0,1.0,100.0
124,3881993,Vintage Apt With 3 Large Bedrooms,42.30433801,-71.1087173,Apartment,6,1.0,3.0,3.0,89.0
125,12566065,Large and Cozy Boston Bedroom,42.30443377,-71.10967689,Apartment,2,1.0,1.0,1.0,90.0
126,6602217,Private Apartment!,42.32309569,-71.10851427,Apartment,5,1.0,1.0,2.0,90.0
127,3276286,Sunny apartment in Boston hosts 6,42.31147167,-71.10529986,Apartment,6,1.5,2.0,3.0,88.0
128,2014651,One Private Bedroom in J.P.,42.30711034,-71.10582363,Apartment,2,1.0,1.0,1.0,91.0
129,6053700,3+ bedroom house - center of JP,42.30983485,-71.11457927,House,6,3.0,3.0,6.0,100.0
130,4405982,Luxury Apt near Restaurants&Pond&T,42.31807257,-71.11267006,Apartment,8,2.0,4.0,4.0,99.0
131,250983,Designers Haven: II - whole apt!!!,42.32394222,-71.10820204,Apartment,5,1.0,2.0,2.0,98.0
132,2308630,Spacious 2BD w/ Balconies & Parking,42.30904986,-71.11253859,Apartment,4,1.0,2.0,2.0,98.0
133,8272350,"""The Sheridan"" JP, Boston",42.32004367,-71.10784416,Apartment,2,1.0,1.0,1.0,100.0
135,4098410,Fully Renovated Room in JP,42.30508831,-71.10735817,Apartment,2,1.0,1.0,1.0,81.0
136,6322283,Restful space with morning light,42.30794791,-71.10929999,Apartment,1,1.0,1.0,1.0,96.0
137,7823025,Private bedroom in heart of JP,42.30970116,-71.11833424,Apartment,2,1.0,1.0,1.0,92.0
138,9549850,Welcome to cozy groundfloor 2rm apt,42.32080939,-71.10730266,Apartment,2,1.0,1.0,1.0,95.0
139,7845607,Cozy Sunroom in Secluded Townhouse,42.31579766,-71.116963,House,1,1.0,1.0,1.0,78.0
140,14071446,Twins in a peaceful room.,42.32249609,-71.11475792,Apartment,2,1.0,1.0,2.0,100.0
142,11826815,Terrestrial Paradise of Eternal Love,42.29956292,-71.11283945,House,2,1.0,1.0,1.0,96.0
144,4765070,Private studio w/ private entrance,42.32508878,-71.1072298,House,2,1.0,0.0,1.0,93.0
145,2880944,2BD Pond-side condo in JP ,42.31395141,-71.11600892,Apartment,4,2.0,2.0,2.0,100.0
147,10253591,"Quiet, Private Room with Comfy Bed",42.31838302,-71.1018781,House,2,1.0,1.0,1.0,91.0
148,1881298,Private Studio- Minutes from T!,42.30026388,-71.11180739,House,2,1.0,1.0,1.0,95.0
149,210097,Treetop Haven in the City,42.3186354,-71.10640628,Apartment,2,1.0,1.0,1.0,97.0
150,6059968,Funky Alcove for 2/Superhost/JP Ctr,42.31359024,-71.1091153,Apartment,2,1.0,1.0,1.0,98.0
151,6862758,"Quiet, Spacious 2BD in Boston's JP!",42.31813877,-71.10367354,Apartment,5,1.5,2.0,3.0,100.0
152,799701,Large Sunny Apartment in JP,42.32085835,-71.11249877,Apartment,8,1.5,4.0,4.0,100.0
154,9057435,3 BR Apartment with Kitchenette,42.31433572,-71.11641498,Apartment,6,1.0,3.0,3.0,100.0
155,750438,"A quiet, green oasis in funky JP! ",42.30681153,-71.11052442,Apartment,2,1.0,1.0,1.0,96.0
156,12874603,Comfortable Private Bedroom for 2,42.32267198,-71.10078612,Condominium,2,2.0,1.0,1.0,74.0
157,12727401,Excellent Room! Right by the Subway,42.30977751,-71.11879574,Apartment,2,1.0,1.0,1.0,60.0
158,2077794,Charming Boston Apartment,42.3044244,-71.11429864,Apartment,4,1.0,1.0,1.0,86.0
159,9712731,Cozy 1 Bd Artist's Sanctuary,42.32551167,-71.11320967,Condominium,3,1.0,1.0,2.0,100.0
160,13677640,"Peaceful/Fun area, 4 minute walk to ""T""",42.31121058,-71.10200967,Apartment,2,1.0,1.0,1.0,80.0
161,3371091,Treetop Room in Sunny Pondside Home,42.31874258,-71.11599746,Apartment,4,1.0,1.0,1.0,95.0
162,13512551,"CITY HOME COUNTRY FEEL, Boston, MA USA",42.30595864,-71.13230208,House,6,2.5,4.0,4.0,100.0
163,732999,Lovely home in Jamaica Plain Boston,42.3045593,-71.11364252,Apartment,4,1.0,2.0,2.0,97.0
164,6106955,Treetop 2+BR Condo w/ Guest Hammock,42.308735799999994,-71.09977037,Condominium,5,1.0,2.0,2.0,95.0
165,2698996,Room in Pondside Apt!,42.31567995,-71.11520101,Apartment,2,1.0,1.0,1.0,98.0
166,27611,One Bedroom Studio Garden Apartment,42.31556512,-71.11482701,Apartment,2,1.0,1.0,1.0,86.0
167,4025194,Queen Bed/Near Subway/Free Passes,42.295722999999995,-71.11942118,Apartment,2,1.0,1.0,1.0,97.0
169,12071820,Super Cozy Apt - An Artist's Home,42.30687965,-71.11231784,Apartment,2,1.0,1.0,1.0,96.0
170,7910223,"Charming  Apartment, Jamaica Plain",42.31592271,-71.09957963,Bed & Breakfast,2,1.0,1.0,2.0,96.0
171,4567815,Treetop Jamaica Plain home,42.30653907,-71.11789286,Apartment,4,1.0,2.0,2.0,96.0
172,12022134,Private room in great JP location!,42.30861526,-71.11488311,Apartment,2,2.0,1.0,1.0,100.0
173,13513012,"T'BEST: Priv. Bath, Deck; Subway, Parking Option",42.29877632,-71.11159713,Apartment,2,1.0,1.0,1.0,100.0
174,3730447,Parkside Apartment- Cozy and Roomy!,42.297404799999995,-71.11391373,Apartment,4,1.0,2.0,2.0,89.0
175,4149974,Centered on Centre ,42.31796621,-71.11153464,Apartment,2,1.0,1.0,1.0,96.0
177,6238463,Pvt tree top room in great location,42.31590401,-71.11404803,Townhouse,2,1.0,1.0,1.0,98.0
178,1929406,Family-Friendly Victorian Townhouse,42.31274188,-71.1120145,House,6,1.0,4.0,4.0,100.0
179,4583526,Lovely private 4 bedroom apt,42.30454928,-71.11553159,Apartment,9,1.0,4.0,4.0,97.0
180,7287822,Light and airy separate apartment in funky JP,42.31527369,-71.10846155,Apartment,4,1.0,1.0,4.0,99.0
181,8354938,2 bedroom Jamaica Plain Egleston Square w/ parking,42.31465541,-71.09929095,Apartment,5,1.0,2.0,3.0,93.0
182,5025015,Beautiful Apartment in Boston!,42.32504873,-71.10629609,Apartment,5,1.0,3.0,4.0,85.0
183,4452800,Small Cozy Room in Beautiful Place,42.29554924,-71.11354969,Apartment,2,1.0,1.0,1.0,80.0
184,7554801,Cozy guest room. Awesome location!,42.32235541,-71.10672991,Townhouse,2,1.5,1.0,1.0,100.0
185,9349646,Family-friendly private room,42.30571166,-71.10566709999999,Apartment,2,1.0,1.0,1.0,100.0
187,5124772,Beautiful Victorian on Quiet Street,42.31867699,-71.10033307,House,10,2.5,5.0,5.0,87.0
188,3977877,Full One-Bedroom in Jamaica Plain,42.31762622,-71.10865424,Apartment,2,1.0,1.0,1.0,93.0
190,6602167,TWO BEDROOM APARTMENT,42.32527017,-71.10701089,Apartment,6,1.0,2.0,4.0,89.0
191,3987926,Rustic Room/Free Transit/By Subway,42.29558695,-71.11941564,Apartment,2,1.0,1.0,1.0,98.0
192,5729845,"Cozy guest room, great location!",42.29812412,-71.11413549,Apartment,2,1.0,1.0,1.0,90.0
193,9727523,One private room in Jamaica Plain,42.31753771,-71.10845722,House,2,1.0,1.0,1.0,91.0
194,12463555,"Family friendly, great location",42.30683414,-71.11331231,Apartment,4,1.0,2.0,4.0,94.0
195,9137560,Cozy & Private Room close to city,42.30720226,-71.11958890000001,Apartment,2,1.0,1.0,1.0,100.0
196,3616081,Jamaica Plain's Urban Oasis,42.31961969,-71.10482911,Apartment,3,1.0,1.0,2.0,97.0
197,8908145,"Gracious, stunning, with fireplace",42.31026209,-71.1125744,House,2,1.0,1.0,1.0,80.0
198,554720,Boston Charm - Condo,42.31856881,-71.11415408,Apartment,6,2.0,2.0,2.0,95.0
199,1551467,Elegant Quiet Family-Friendly 2BR,42.31012524,-71.1028772,Apartment,4,1.0,2.0,2.0,95.0
200,7743569,Cozy guest room. Awesome location!,42.3095023,-71.11675448,Apartment,2,1.0,1.0,1.0,98.0
201,732932,"Sunny Home in Jamaica Plain, Boston",42.3037631,-71.11400263,Apartment,2,1.0,1.0,1.0,95.0
202,749247,Beautiful Boston Room-Sunny!,42.31343054,-71.10571837,Apartment,2,1.0,1.0,1.0,97.0
203,667325,"Great location, large room, and private bath.",42.30894842,-71.11416181,Apartment,4,1.0,1.0,2.0,92.0
204,9349614,"Sunny, Family-Friendly Apartment",42.30639602,-71.10593529,Apartment,4,1.0,2.0,2.0,80.0
205,10627514,Sunny JP bedroom near Orange Line T,42.31551269,-71.10157723,House,2,2.0,1.0,1.0,90.0
206,1885825,The Roost -  Fox Room,42.30932886,-71.1176428,House,3,1.0,1.0,2.0,96.0
208,629814,Diamond House -2- Victorian Jewel,42.31686602,-71.10254447,Apartment,4,1.0,2.0,2.0,100.0
209,1222327,"Cozy, 2 bedroom near medical area!",42.32473174,-71.10791788,House,4,2.0,2.0,2.0,100.0
